id,exhibitor_id,company_name,hall,nivel,stand,city,cities,category,product,website,logo_url,econexia_url,description_es,status,source
gsi-2026-ALB-43,807008,CONSTRUCTORA CAPITAL BOGOTA S.A.S.,ALB,01,43,BOGOTA D.C.,bogota,,,http://www.constructoracapital.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55970,,,captured,catalog
gsi-2026-06-347,807357,CONSTRUCTORA CASA VERDE,06,01,347,IBAGUE,otro,vivienda,"Lotes campestres en la ciudad de Alvarado, Lérida, Totumo y Espinal en el Tolima",http://www.constructoracasaverde.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55242,,"Constructora Casa Verde es una empresa inmobiliaria con más de 18 años de experiencia en el desarrollo y comercialización de proyectos de vivienda, lotes urbanos y campestres en el departamento del Tolima. Nos caracterizamos por ofrecer proyectos confiables, con excelente ubicación, matrículas inmobiliarias independientes y opciones de financiación directa, con cuotas fijas y sin intereses. Nuestro propósito es ayudar a las familias colombianas, tanto en Colombia como en el exterior, a construir su patrimonio y hacer realidad el sueño de tener un terreno propio. A lo largo de nuestra trayectoria hemos desarrollado y entregado diferentes proyectos inmobiliarios, brindando acompañamiento personalizado, seguridad jurídica y alternativas de inversión adaptadas a las necesidades de cada cliente. En Constructora Casa Verde no vendemos expectativas: ofrecemos proyectos reales, oportunidades de inversión y espacios para construir un mejor futuro.",captured,catalog
gsi-2026-ALB-103,"806263, 806226, 806246, 806223, 806278, 806272, 806220, 806259, 806236, 806261, 806250, 806234, 806269, 806232, 806230",CONSTRUCTORA COLPATRIA,ALB,01,"103, 104, 108, 116, 124, 125, 132, 136, 139, 145, 151, 152, 155, 160, 162",BOGOTA D.C.,bogota,,Proyectos Inmobiliarios,http://www.constructoracolpatria.com,,,,captured,catalog
gsi-2026-06-128,804217,CONSTRUCTORA CONCONCRETO,06,01,128,MEDELLIN,medellin,,N/A,https://conconcreto.com/,,,,captured,catalog
gsi-2026-05-114,827685,CONSTRUCTORA HABITAT DE LOS ANDES SAS,05,01,114,BOGOTA D.C.,bogota,financiero;comercio;vivienda;inversion;servicios,"Desarrollo, promoción y comercialización de proyectos inmobiliarios de vivienda. Asesoría personalizada para la adquisición de inmuebles, inversión inmobiliaria, financiación y acompañamiento integral durante el proceso de compra.",,,,,captured,catalog
gsi-2026-06-340A,"805394, 817083",CONSTRUCTORA JIMENEZ S.A.,"06, 08",01,"06-340A, 08-111A",SANTA MARTA,otro,comercio;inversion,Proyecto Delventto ya terminado con unidades por comercializar (28 por comercializar) y Proyecto Delventto Mare recién lanzado con enfoque de rentas cortas (536 und),http://www.constructorajimenez.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56207,,"En Promotora Jiménez S.A.S. hacemos realidad proyectos inmobiliarios con sello de excelencia. Cubrimos de manera integral todo el ciclo de valor: diseñamos, gerenciamos, promovemos y construimos proyectos residenciales, turísticos y comerciales que destacan por su innovación, calidad y diseño funcional. Acompañamos a nuestros clientes e inversionistas garantizando transparencia, respaldo y máxima rentabilidad. Nos motiva construir espacios donde las familias prosperen, los turistas vivan experiencias memorables y los inversionistas alcancen su máximo potencial. En Promotora Jiménez S.A.S nos sentimos orgullosos de nuestras raíces. Nacimos con el ADN y crecimos respaldados por la trayectoria de 40 años de Constructora Jiménez, aprendiendo de los mejores en el sector. Hoy, nuestra promotora es una empresa 100% independiente, con autonomía financiera, operativa y estratégica propia. Mantenemos el mismo estándar y la misma garantía de siempre.",captured,catalog
gsi-2026-07-282,824800,PH ESTELA,07,01,282,PANAMA,internacional,vivienda;inversion,"Venta de apartamentos en la ciudad de Panamá - PH ESTELA Promoción, exhibición y venta de apartamentos del proyecto residencial PH ESTELA, ubicado en San Francisco, Ciudad de Panamá. Se brindará información detallada sobre el proyecto y asesoría personalizada para compradores e inversionistas.",,,,,captured,catalog
gsi-2026-05-118,826733,MARDEL S.A.S,05,01,118,BUCARAMANGA,otro,vis;no_vis,1. Proyecto Montebello de Mardel ( VIS). 2. Proyecto Lagos de Mardel (NO VIS),,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56188,,Empresa constructora con más de 37 años de experiencia creando realidades que superan expectativas en el Área Metropolitana de Bucaramanga.,captured,catalog
gsi-2026-08-112A,809312,CONSTRUCTORA OPEN,08,01,112A,BOGOTA D.C.,bogota,vivienda,VENTA DE APARTAMENTOS ENTRE,http://constructoraopen.com.co,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=54980,,"Somos una empresa de construcción con más de 20 años de experiencia. Nuestro propósito es enriquecer la vida. No construimos edificios. Construimos espacios que cambian la vida de las personas: una vida más plena, próspera y significativa.",captured,catalog
gsi-2026-06-245,823153,SAOMA SAS,06,01,245,CARTAGENA,cartagena,comercio,INMOBILIARIO- DERECHOS FIDUCIARIOS CENTRO COMERCIAL,,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56083,,,captured,catalog
